name,code,block,block5,num,stocks
农业综合,880366,T030206,T0302,43,"['000019', '000048', '000061', '000638', '000735', '000930', '001201', '002124', '002141', '002157', '002234', '002299', '002321', '002458', '002688', '002714', '002746', '002868', '002982', '300119', '300268', '300313', '300498', '300761', '300871', '300967', '600127', '600195', '600201', '600251', '600965', '600975', '603336', '603477', '603566', '603717', '603718', '603739', '605296', '688098', '688526', '920275', '920729']"
纺织服饰,880367,T0303,T0303,107,"['000017', '000026', '000726', '000850', '000955', '001209', '001234', '001390', '002003', '002029', '002042', '002083', '002098', '002144', '002154', '002193', '002269', '002293', '002327', '002345', '002394', '002397', '002404', '002486', '002494', '002563', '002569', '002574', '002612', '002634', '002656', '002674', '002687', '002721', '002731', '002762', '002763', '002780', '002832', '002867', '002875', '003016', '003041', '300005', '300577', '300591', '300658', '300819', '300840', '300877', '300901', '300918', '300945', '300952', '300979', '301066', '301088', '301177', '301276', '600107', '600137', '600156', '600177', '600398', '600400', '600439', '600448', '600493', '600612', '600630', '600735', '600916', '600987', '601339', '601566', '601599', '601718', '603001', '603055', '603073', '603116', '603130', '603196', '603238', '603365', '603511', '603518', '603557', '603558', '603587', '603608', '603665', '603808', '603839', '603877', '603889', '603900', '603908', '603958', '605003', '605055', '605138', '605180', '605189', '605599', '920262', '920753']"
纺织,880368,T030301,T0303,42,"['000726', '000850', '000955', '001390', '002042', '002083', '002144', '002193', '002293', '002327', '002394', '002397', '002404', '002674', '003041', '300577', '300658', '300819', '300877', '300918', '300952', '301066', '600156', '600448', '600493', '600987', '601339', '601599', '603055', '603073', '603130', '603238', '603365', '603558', '603889', '603908', '605003', '605055', '605180', '605189', '920262', '920753']"
服饰,880369,T030302,T0303,65,"['000017', '000026', '001209', '001234', '002003', '002029', '002098', '002154', '002269', '002345', '002486', '002494', '002563', '002569', '002574', '002612', '002634', '002656', '002687', '002721', '002731', '002762', '002763', '002780', '002832', '002867', '002875', '003016', '300005', '300591', '300840', '300901', '300945', '300979', '301088', '301177', '301276', '600107', '600137', '600177', '600398', '600400', '600439', '600612', '600630', '600735', '600916', '601566', '601718', '603001', '603116', '603196', '603511', '603518', '603557', '603587', '603608', '603665', '603808', '603839', '603877', '603900', '603958', '605138', '605599']"
食品饮料,880372,T0304,T0304,123,"['000505', '000523', '000529', '000639', '000716', '000848', '000895', '000911', '000972', '001215', '001219', '001318', '002216', '002286', '002329', '002330', '002481', '002495', '002507', '002515', '002557', '002570', '002582', '002597', '002650', '002661', '002695', '002702', '002719', '002726', '002732', '002820', '002840', '002847', '002852', '002910', '002946', '002956', '002991', '003000', '003030', '300106', '300138', '300146', '300175', '300741', '300765', '300783', '300829', '300858', '300892', '300898', '300908', '300915', '300972', '300973', '300997', '300999', '301116', '301206', '600073', '600186', '600189', '600191', '600298', '600300', '600305', '600419', '600429', '600597', '600737', '600872', '600873', '600882', '600887', '600929', '600962', '603020', '603027', '603043', '603057', '603079', '603156', '603170', '603182', '603231', '603237', '603262', '603288', '603299', '603317', '603345', '603517', '603536', '603696', '603697', '603711', '603719', '603755', '603777', '603866', '603886', '605016', '605077', '605089', '605179', '605198', '605300', '605337', '605338', '605339', '605388', '605499', '605567', '688089', '920023', '920273', '920371', '920422', '920429', '920726', '920786', '920826']"
乳制品,880373,T030401,T0304,21,"['001318', '002329', '002570', '002719', '002732', '002910', '002946', '300106', '300892', '300898', '300915', '600419', '600429', '600597', '600882', '600887', '605179', '605300', '605337', '605388', '920786']"
软饮料,880374,T030402,T0304,9,"['000848', '300997', '600189', '600300', '600962', '603156', '603711', '605198', '605499']"
食品,880375,T030403,T0304,93,"['000505', '000523', '000529', '000639', '000716', '000895', '000911', '000972', '001215', '001219', '002216', '002286', '002330', '002481', '002495', '002507', '002515', '002557', '002582', '002597', '002650', '002661', '002695', '002702', '002726', '002820', '002840', '002847', '002852', '002956', '002991', '003000', '003030', '300138', '300146', '300175', '300741', '300765', '300783', '300829', '300858', '300908', '300972', '300973', '300999', '301116', '301206', '600073', '600186', '600191', '600298', '600305', '600737', '600872', '600873', '600929', '603020', '603027', '603043', '603057', '603079', '603170', '603182', '603231', '603237', '603262', '603288', '603299', '603317', '603345', '603517', '603536', '603696', '603697', '603719', '603755', '603777', '603866', '603886', '605016', '605077', '605089', '605338', '605339', '605567', '688089', '920023', '920273', '920371', '920422', '920429', '920726', '920826']"
酿酒,880380,T0305,T0305,37,"['000568', '000596', '000729', '000752', '000799', '000858', '000860', '000869', '000929', '000995', '001338', '002304', '002461', '002568', '002646', '600059', '600084', '600132', '600197', '600199', '600238', '600519', '600543', '600559', '600573', '600600', '600616', '600696', '600702', '600779', '600809', '601579', '603198', '603369', '603589', '603779', '603919']"
白酒,880381,T030501,T0305,20,"['000568', '000596', '000799', '000858', '000860', '000995', '002304', '002646', '600197', '600199', '600519', '600559', '600696', '600702', '600779', '600809', '603198', '603369', '603589', '603919']"
